@relation ShenyangPM20100101_20151231

@attribute No numeric
@attribute year numeric
@attribute month numeric
@attribute day numeric
@attribute hour numeric
@attribute season numeric
@attribute PM_Taiyuanjie {NA}
@attribute 'PM_US Post' {NA}
@attribute PM_Xiaoheyan {NA}
@attribute DEWP string
@attribute HUMI string
@attribute PRES string
@attribute TEMP string
@attribute cbwd {NE,NA,cv,SE,NW,SW}
@attribute Iws string
@attribute precipitation {NA}
@attribute Iprec {NA}

@data

1,2010,1,1,0,4,NA,NA,NA,-26,69.79,1024,-22,NE,1.0289,NA,NA
2,2010,1,1,1,4,NA,NA,NA,-26,76.26,1024,-23,NE,2.5722,NA,NA
3,2010,1,1,2,4,NA,NA,NA,-27,69.56,1023,-23,NE,5.1444,NA,NA
4,2010,1,1,3,4,NA,NA,NA,-27,69.56,1023,-23,NE,7.7166,NA,NA
5,2010,1,1,4,4,NA,NA,NA,-27,69.56,1022,-23,NE,9.7744,NA,NA
6,2010,1,1,5,4,NA,NA,NA,-26,76.26,1022,-23,NE,11.8322,NA,NA
7,2010,1,1,6,4,NA,NA,NA,-25,76.46,1021,-22,NE,14.4044,NA,NA
8,2010,1,1,7,4,NA,NA,NA,-24,70.26,1021,-20,NE,16.9766,NA,NA
9,2010,1,1,8,4,NA,NA,NA,-23,70.49,1021,-19,NE,19.0344,NA,NA
10,2010,1,1,9,4,NA,NA,NA,-22,70.71,1021,-18,NE,21.6066,NA,NA
11,2010,1,1,10,4,NA,NA,NA,-20,77.39,1022,-17,NE,24.1788,NA,NA
12,2010,1,1,11,4,NA,NA,NA,-18,77.75,1021,-15,NE,27.2655,NA,NA
13,2010,1,1,12,4,NA,NA,NA,-17,77.92,1020,-14,NE,29.8377,NA,NA
14,2010,1,1,13,4,NA,NA,NA,-16,78.1,1019,-13,NE,32.9244,NA,NA
15,2010,1,1,14,4,NA,NA,NA,-15,84.87,1019,-13,NE,35.4966,NA,NA
16,2010,1,1,15,4,NA,NA,NA,-15,78.27,1019,-12,NE,38.5833,NA,NA
17,2010,1,1,16,4,NA,NA,NA,-15,78.27,1019,-12,NE,41.1555,NA,NA
18,2010,1,1,17,4,NA,NA,NA,-15,78.27,1020,-12,NE,43.2133,NA,NA
19,2010,1,1,18,4,NA,NA,NA,-16,78.1,1020,-13,NE,45.7855,NA,NA
20,2010,1,1,19,4,NA,NA,NA,-17,77.92,1021,-14,NE,48.3577,NA,NA
21,2010,1,1,20,4,NA,NA,NA,-17,84.62,1021,-15,NE,50.4155,NA,NA
22,2010,1,1,21,4,NA,NA,NA,-19,77.57,1022,-16,NE,51.9588,NA,NA
23,2010,1,1,22,4,NA,NA,NA,-20,77.39,1022,-17,NE,53.5021,NA,NA
24,2010,1,1,23,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
25,2010,1,2,0,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
26,2010,1,2,1,4,NA,NA,NA,-23,70.49,1023,-19,NE,1.5433,NA,NA
27,2010,1,2,2,4,NA,NA,NA,-24,70.26,1023,-20,NE,2.5722,NA,NA
