User,Text,Lang,CreatedAt,CurrentUserRetweetId,FavoriteCount,GeoLocation,Id,InReplyToStatusId,InReplyToUserId,Place,QuotedStatusId,RetweetCount,Source,SourceUrl,SourceValue
CNN,Disney World has erected a statue in honor of the 2-year-old boy killed by an alligator while playing near a hotel… https://t.co/zMvNgRrUgi,en,Tue Aug 08 13:45:10 CDT 2017,-1,143,null,894992900098052097,-1,-1,null,-1,43,<a href="http://www.socialflow.com" rel="nofollow">SocialFlow</a>,http://www.socialflow.com,SocialFlow
The New York Times,The millions of low-skilled immigrants who swept into the work force have largely improved the lives of Americans https://t.co/aT37qg0yq7,en,Tue Aug 08 13:45:06 CDT 2017,-1,148,null,894992885476728832,-1,-1,null,-1,89,<a href="http://www.socialflow.com" rel="nofollow">SocialFlow</a>,http://www.socialflow.com,SocialFlow
hulu,.@Matt_LeBlanc tells @JimmyKimmelLive how his 50th birthday could in no way be worse than his 40th.… https://t.co/HpoMCGEOs5,en,Tue Aug 08 13:45:04 CDT 2017,-1,2,null,894992874122731520,-1,-1,null,-1,0,<a href="http://www.radian6.com" rel="nofollow">Radian6 -Social Media Management</a>,http://www.radian6.com,Radian6 -Social Media Management
Iowa State Athletics,@CycloneFB Todd Blythe is correct!The standout @CycloneFB receiver wore #6 as a freshman before switching to the… https://t.co/ZxbMxENbxw,en,Tue Aug 08 13:44:09 CDT 2017,-1,1,null,894992645713530880,894981548688252928,113379481,null,-1,0,<a href="http://twitter.com" rel="nofollow">Twitter Web Client</a>,http://twitter.com,Twitter Web Client
Mashable,Facebook killed its high school-only Snapchat clone and nobody noticed https://t.co/NrFsSVVqY0 https://t.co/voWn6lFCTq,en,Tue Aug 08 13:42:09 CDT 2017,-1,5,null,894992141088411649,-1,-1,null,-1,4,<a href="http://www.socialflow.com" rel="nofollow">SocialFlow</a>,http://www.socialflow.com,SocialFlow
The White House,RT @WaysandMeansGOP: We need to simplify the tax code for American job creators so they can invest in their workers and local communities h…,en,Tue Aug 08 13:42:00 CDT 2017,-1,0,null,894992104853823489,-1,-1,null,-1,124,<a href="https://www.whitehouse.gov/" rel="nofollow">WH Digital</a>,https://www.whitehouse.gov/,WH Digital
Rick Riordan,Nico the cat looks like he saw things in Tartarus. https://t.co/feTiJv192R,en,Tue Aug 08 13:41:05 CDT 2017,-1,378,null,894991873164685312,-1,-1,null,894977949098799104,93,<a href="http://twitter.com/#!/download/ipad" rel="nofollow">Twitter for iPad</a>,http://twitter.com/#!/download/ipad,Twitter for iPad
Wall Street Journal,Is geography destiny? Springfield; Mass.; wants to rise; but it may be too far from Boston https://t.co/CMHv4EECNU,en,Tue Aug 08 13:40:15 CDT 2017,-1,18,null,894991665886265344,-1,-1,null,-1,11,<a href="http://www.socialflow.com" rel="nofollow">SocialFlow</a>,http://www.socialflow.com,SocialFlow
The Economist,Three lawsuits have been filed accusing the president of violating conflicts-of-interest standards https://t.co/gfZghb2F7N,en,Tue Aug 08 13:40:15 CDT 2017,-1,62,null,894991662874853377,-1,-1,null,-1,40,<a href="http://www.socialflow.com" rel="nofollow">SocialFlow</a>,http://www.socialflow.com,SocialFlow
The New Yorker,After thirty-three years; the National Double Dutch League’s Summer Classic returns to Lincoln Center Out of Doors. https://t.co/WnCmrVQUKl,en,Tue Aug 08 13:37:54 CDT 2017,-1,97,null,894991072824184832,-1,-1,null,-1,50,<a href="http://snappytv.com" rel="nofollow">SnappyTV.com</a>,http://snappytv.com,SnappyTV.com
HuffPost,People responded perfectly to mathematician’s sexist tweet about that Google memo https://t.co/yvov2ax49y https://t.co/rgSEjukgnC,en,Tue Aug 08 13:35:07 CDT 2017,-1,54,null,894990371775762434,-1,-1,null,-1,23,<a href="http://www.socialflow.com" rel="nofollow">SocialFlow</a>,http://www.socialflow.com,SocialFlow
CNN,President Trump retweeted a Fox News story that contained classified information leaked by anonymous sources… https://t.co/PW9RA86d82,en,Tue Aug 08 13:35:06 CDT 2017,-1,346,null,894990369011662850,-1,-1,null,-1,246,<a href="http://www.socialflow.com" rel="nofollow">SocialFlow</a>,http://www.socialflow.com,SocialFlow
The Economist,Prison is an expensive way of making bad people worse https://t.co/DGxhoD0WvJ,en,Tue Aug 08 13:34:25 CDT 2017,-1,128,null,894990197552816130,-1,-1,null,-1,89,<a href="http://www.socialflow.com" rel="nofollow">SocialFlow</a>,http://www.socialflow.com,SocialFlow
Nikolaj CosterWaldau,RT @JamesHibberd: Boom: @GameOfThrones gets biggest ratings ever for leaked episode https://t.co/7DXexXPGSg https://t.co/Ve5iLRVEfj,en,Tue Aug 08 13:34:07 CDT 2017,-1,0,null,894990121220677632,-1,-1,null,-1,141,<a href="http://twitter.com/download/iphone" rel="nofollow">Twitter for iPhone</a>,http://twitter.com/download/iphone,Twitter for iPhone
Amazon,RT @TheTickTV: Fear not; furry friends! #TheTick always answers the call for Justice. 🐱 #InternationalCatDay https://t.co/yx223nPFdE,en,Tue Aug 08 13:32:43 CDT 2017,-1,0,null,894989766785024000,-1,-1,null,-1,32,<a href="http://twitter.com" rel="nofollow">Twitter Web Client</a>,http://twitter.com,Twitter Web Client
Aleksandr Voinov,RT @Jamie_Woodward_: 29 things that only people who collect pebbles will understand https://t.co/yDhMXeKmvh https://t.co/7S6MBpLPfk,en,Tue Aug 08 13:31:58 CDT 2017,-1,0,null,894989577789861889,-1,-1,null,-1,32,<a href="http://twitter.com/download/iphone" rel="nofollow">Twitter for iPhone</a>,http://twitter.com/download/iphone,Twitter for iPhone
