User,Text,Lang,CreatedAt,CurrentUserRetweetId,FavoriteCount,GeoLocation,Id,InReplyToStatusId,InReplyToUserId,Place,QuotedStatusId,RetweetCount,Source,SourceUrl,SourceValue
Winter is Coming,RT @GameOfThrones: Battling the Silence.The creators and cast of #GameofThrones discuss the silence ship battle scene in “Stormborn." #GoT…,en,Thu Jul 27 17:18:35 CDT 2017,-1,0,null,890697952922087424,-1,-1,null,-1,271,<a href="http://twitter.com" rel="nofollow">Twitter Web Client</a>,http://twitter.com,Twitter Web Client
The Associated Press,RT @APEastRegion: Sweet gig: Meet the @phish fan who's supplying doughnuts for the band's 13-night Baker's Dozen run in NYC. Story: https:/…,en,Thu Jul 27 17:14:05 CDT 2017,-1,0,null,890696823358312448,-1,-1,null,-1,3,<a href="http://www.socialflow.com" rel="nofollow">SocialFlow</a>,http://www.socialflow.com,SocialFlow
The Associated Press,June Foray; voice of Rocky the Flying Squirrel; Grandmother Fa in "Mulan" and many other characters; dead at 99. https://t.co/okcWsMHcx6,en,Thu Jul 27 17:04:03 CDT 2017,-1,156,null,890694296961200128,-1,-1,null,-1,130,<a href="http://www.socialflow.com" rel="nofollow">SocialFlow</a>,http://www.socialflow.com,SocialFlow
Aleksandr Voinov,RT @LadyTiferet: Hey London folks; friends' fur bby is MISSING: Brown; grey & lilac cat in Romford; Greater London; England; RM3  https://t…,en,Thu Jul 27 16:59:32 CDT 2017,-1,0,null,890693161860968448,-1,-1,null,-1,1,<a href="http://twitter.com/download/iphone" rel="nofollow">Twitter for iPhone</a>,http://twitter.com/download/iphone,Twitter for iPhone
The Associated Press,House approves $766B spending bill with $1.6B down payment on border wall; huge budget increase for Pentagon. https://t.co/8VPAE3yNR1,en,Thu Jul 27 16:51:14 CDT 2017,-1,149,null,890691073764466688,-1,-1,null,-1,183,<a href="http://www.socialflow.com" rel="nofollow">SocialFlow</a>,http://www.socialflow.com,SocialFlow
The Associated Press,RT @APCentralRegion: Ex-drivers tell AP that trucking firm linked to recent fatal smuggling case in Texas is unethical. https://t.co/Dqrn0s…,en,Thu Jul 27 16:47:47 CDT 2017,-1,0,null,890690205635813378,-1,-1,null,-1,20,<a href="http://www.socialflow.com" rel="nofollow">SocialFlow</a>,http://www.socialflow.com,SocialFlow
Rick Riordan,RT @ReadingTeen: Reagan may have screamed when she opened it. Thanks so much @DisneyHyperion @camphalfblood for making her day #pjcoloringb…,en,Thu Jul 27 16:42:29 CDT 2017,-1,0,null,890688869141762048,-1,-1,null,-1,6,<a href="http://twitter.com/download/iphone" rel="nofollow">Twitter for iPhone</a>,http://twitter.com/download/iphone,Twitter for iPhone
Donald J. Trump,Today; we gathered in the East Room to pay tribute to the HEROES whose courageous actions under fire saved so many… https://t.co/KPsKk2muqg,en,Thu Jul 27 16:36:51 CDT 2017,-1,13675,null,890687451156631555,-1,-1,null,-1,3042,<a href="https://studio.twitter.com" rel="nofollow">Media Studio</a>,https://studio.twitter.com,Media Studio
The Associated Press,RT @APWestRegion: The Utah pilot killed when a small plane crashed on a highway lost his brother 15 years ago in a gyroplane crash https://…,en,Thu Jul 27 16:27:01 CDT 2017,-1,0,null,890684979100995585,-1,-1,null,-1,6,<a href="http://www.socialflow.com" rel="nofollow">SocialFlow</a>,http://www.socialflow.com,SocialFlow
The Associated Press,BREAKING: House passes $788B bill combining Pentagon budget; veterans programs; and $1.6B down payment on U.S.-Mexico wall.,en,Thu Jul 27 16:23:39 CDT 2017,-1,834,null,890684129574092800,-1,-1,null,-1,1126,<a href="http://www.socialflow.com" rel="nofollow">SocialFlow</a>,http://www.socialflow.com,SocialFlow
